Course,Planned number of Students,Senior Hours,Assistant Hours
I-485,20,280,240
I-486,20,280,200
I-487,20,280,280
I-488,40,280,240
I-489,20,260,420
I-490,60,240,280
I-491,40,240,420
I-492,40,260,280
I-493,20,240,300
I-494,50,240,300
I-495,50,280,280
I-496,60,280,300
I-497,20,240,240
I-498,60,280,240
I-499,20,240,360
I-500,40,280,200
I-501,20,240,280
I-502,40,240,280
I-503,40,260,420
I-504,60,240,200
I-505,40,280,420
I-506,50,280,280
I-507,60,260,280
I-508,20,240,280
I-509,50,260,420
I-510,40,240,200
I-511,50,280,300
I-512,60,240,300
I-513,60,260,420
I-514,50,280,200
I-515,40,280,200
I-516,20,260,240
I-517,40,280,200
I-518,40,280,240
I-519,50,260,300
I-520,60,240,280
I-521,50,280,300
I-522,60,240,200
I-523,60,280,420
I-524,20,260,420
I-525,50,240,280
I-526,20,240,200
I-527,50,280,280
I-528,20,260,240
I-529,40,280,420
I-530,20,260,300
I-531,60,260,420
I-532,50,260,360
I-533,60,260,420
I-534,50,260,240
I-535,60,280,300
I-536,20,260,300
I-537,60,240,300
I-538,60,280,300
I-539,50,260,360
I-540,20,260,420
I-541,20,260,300
I-542,60,280,280
I-543,60,240,420
I-544,50,240,300
I-545,40,280,420
I-546,50,240,240
I-547,60,240,240
I-548,40,260,420
I-549,50,280,280
I-550,40,260,200
I-551,20,280,200
I-552,60,260,360
I-553,50,260,300
I-554,20,280,280
I-555,40,260,240
I-556,40,280,280
I-557,50,260,360
I-558,40,260,300
I-559,40,280,420
I-560,60,260,240
I-561,60,240,280
I-562,50,260,280
I-563,20,260,200
I-564,40,240,300
I-565,40,280,300
I-566,40,280,300
I-567,20,280,420
I-568,20,280,360
I-569,20,240,280
I-570,60,260,420
I-571,50,260,240
I-572,20,280,300
I-573,20,280,200
I-574,20,280,240
I-575,20,280,280
I-576,40,240,360
I-577,20,240,280
I-578,50,240,300
I-579,20,280,300
I-580,60,240,300
I-581,20,260,200
I-582,50,260,280
I-583,60,280,300
I-584,20,280,240
I-585,50,280,360
I-586,60,260,360
I-587,40,240,200
I-588,40,280,300
I-589,40,260,240
I-590,40,240,200
I-591,40,260,280
I-592,50,280,240
I-593,60,240,240
I-594,40,260,360
I-595,40,280,420
I-596,20,280,300
I-597,60,240,200
I-598,50,260,200
I-599,60,260,300
I-600,50,260,420
I-601,20,260,200
I-602,60,260,240
I-603,40,280,420
I-604,60,280,240
I-605,20,260,300
I-606,60,240,420
I-607,40,260,280
I-608,50,260,360
I-609,20,280,420
I-610,60,240,420
I-611,60,260,280
I-612,50,280,280
I-613,60,280,420
I-614,20,260,280
I-615,40,260,300
I-616,50,240,360
I-617,60,240,240
I-618,40,260,360
I-619,60,280,300
I-620,50,280,200
I-621,40,260,240
I-622,50,260,280
I-623,40,240,240
I-624,50,260,240
I-625,60,280,360
I-626,20,240,360
I-627,60,280,280
I-628,20,280,200
I-629,20,280,240
I-630,60,260,300
I-631,60,240,240
I-632,40,240,360
I-633,60,280,420
I-634,20,280,280
I-635,60,280,420
I-636,50,240,300
I-637,50,260,240
I-638,40,240,200
I-639,20,260,300
I-640,50,280,300
I-641,40,280,200
I-642,40,240,300
I-643,20,280,240
I-644,50,260,200
I-645,50,240,360
I-646,60,260,240
I-647,40,260,280
I-648,60,260,200
I-649,20,260,200
I-650,40,240,300
I-651,60,260,240
I-652,40,280,360
I-653,50,240,280
I-654,60,260,420
I-655,40,280,420
I-656,50,240,420
I-657,50,280,420
I-658,40,240,300
I-659,50,260,360
I-660,20,280,360
I-661,40,280,200
I-662,50,280,300
I-663,60,280,240
I-664,20,280,300
I-665,50,280,300
I-666,20,240,300
I-667,60,240,420
I-668,20,280,200
I-669,60,240,240
I-670,60,280,240
I-671,60,280,360
I-672,40,280,300
I-673,60,240,420
I-674,40,260,300
I-675,60,280,300
I-676,50,260,200
I-677,40,260,280
I-678,60,260,300
I-679,50,280,360
I-680,50,280,240
I-681,20,280,360
I-682,60,260,240
I-683,50,260,200
I-684,50,280,300
I-685,60,260,360
I-686,40,240,280
I-687,20,240,420
I-688,50,280,360
I-689,20,280,200
I-690,50,240,300
I-691,50,280,300
I-692,20,240,360
I-693,50,260,300
I-694,60,240,360
I-695,40,280,300
I-696,50,240,360
I-697,40,280,360
I-698,20,280,360
I-699,20,240,200
I-700,20,280,300
I-701,20,260,360
I-702,20,240,300
I-703,40,260,240
I-704,50,260,420
I-705,20,260,240
I-706,50,240,200
I-707,40,280,280
I-708,40,260,200
I-709,20,260,200
I-710,60,260,360
I-711,50,240,200
I-712,60,280,200
I-713,50,260,200
I-714,60,280,300
I-715,40,260,240
I-716,40,260,360
I-717,40,280,420
I-718,60,260,240
I-719,50,260,240
I-720,60,260,240
I-721,50,240,360
I-722,40,240,300
I-723,40,240,240
I-724,50,240,300
I-725,50,260,300
I-726,40,280,360
I-727,50,240,420
I-728,20,280,240
I-729,40,260,300
I-730,60,280,420
I-731,20,240,200
I-732,50,280,280
I-733,40,240,300
I-734,50,240,420
I-735,20,280,200
I-736,60,260,280
I-737,50,280,300
I-738,40,280,420
I-739,60,260,360
I-740,50,240,420
I-741,50,240,300
I-742,50,260,200
I-743,60,260,360
I-744,20,260,280
I-745,20,280,240
I-746,40,260,280
I-747,40,280,280
I-748,20,280,360
I-749,20,240,200
I-750,50,240,300
I-751,40,260,240
I-752,50,280,360
I-753,50,260,300
I-754,40,280,200
I-755,50,280,420
I-756,60,280,360
I-757,50,260,240
I-758,60,240,360
I-759,60,260,240
I-760,20,260,240
I-761,20,280,240
I-762,20,280,300
I-763,20,280,240
I-764,20,280,240
I-765,40,240,240
I-766,50,260,360
I-767,50,260,240
I-768,40,280,300
I-769,60,280,200
I-770,40,280,360
I-771,50,260,280
I-772,60,280,240
I-773,20,280,360
I-774,60,240,420
I-775,50,260,420
I-776,20,280,360
I-777,20,280,280
I-778,60,260,200
I-779,20,280,420
I-780,50,240,300
I-781,50,240,360
I-782,60,240,360
I-783,40,240,420
I-784,40,280,240
I-785,60,280,300
I-786,60,240,280
I-787,20,280,240
I-788,40,260,240
I-789,50,240,360
I-790,40,240,300
I-791,40,260,240
I-792,60,280,420
I-793,60,260,280
I-794,60,280,360
I-795,60,260,200
I-796,50,280,360
I-797,40,240,240
I-798,60,280,240
I-799,60,240,360
I-800,20,240,200
I-801,20,280,280
I-802,20,240,420
I-803,60,280,280
I-804,20,260,280
I-805,20,240,240
I-806,40,260,200
I-807,40,280,420
I-808,40,240,240
I-809,50,240,280
I-810,20,240,300
I-811,20,240,240
I-812,60,260,200
I-813,20,260,200
I-814,60,240,300
I-815,60,280,280
I-816,40,260,300
I-817,50,260,200
I-818,20,240,300
I-819,60,260,280
I-820,20,280,240
I-821,50,240,240
I-822,50,260,420
I-823,50,260,240
I-824,60,260,280
I-825,50,240,360
I-826,40,240,280
I-827,40,260,360
I-828,50,280,420
I-829,50,240,360
I-830,60,280,420
I-831,20,240,240
I-832,40,240,280
I-833,20,240,420
I-834,50,240,420
I-835,40,260,300
I-836,20,260,360
I-837,20,260,420
I-838,40,260,300
I-839,60,240,200
I-840,40,260,420
I-841,20,240,240
I-842,50,280,420
I-843,20,260,420
I-844,60,280,280
I-845,50,280,240
I-846,20,240,240
I-847,60,260,300
I-848,20,260,420
I-849,20,280,200
I-850,20,260,360
I-851,50,260,240
I-852,40,260,240
I-853,20,260,240
I-854,50,280,240
I-855,40,260,300
I-856,40,260,360
I-857,50,280,280
I-858,20,260,420
I-859,60,240,300
I-860,20,260,300
I-861,40,260,360
I-862,20,260,420
I-863,50,280,420
I-864,60,260,240
I-865,20,260,240
I-866,40,260,360
I-867,50,260,300
I-868,40,240,300
I-869,20,280,420
I-870,40,280,420
I-871,40,260,300
I-872,40,260,420
I-873,60,280,360
I-874,60,240,200
I-875,50,260,360
I-876,60,240,300
I-877,50,280,240
I-878,40,240,360
I-879,50,280,200
I-880,60,260,280
I-881,50,280,300
I-882,50,240,280
I-883,60,280,280
I-884,60,260,300
I-885,20,240,240
I-886,40,240,240
I-887,60,280,300
I-888,50,240,200
I-889,20,280,420
I-890,40,240,300
I-891,50,260,280
I-892,40,260,420
I-893,60,280,300
I-894,50,240,280
I-895,60,280,420
I-896,50,260,280
I-897,60,280,300
I-898,60,240,420
I-899,40,260,200
I-900,60,280,240
I-901,50,240,280
I-902,60,280,200
I-903,40,280,420
I-904,40,260,240
I-905,50,240,360
I-906,20,240,200
I-907,50,240,420
I-908,20,280,280
I-909,20,280,240
I-910,60,260,200
I-911,20,260,420
I-912,50,240,200
I-913,50,260,200
I-914,40,260,200
I-915,40,240,200
I-916,20,280,240
I-917,50,280,360
I-918,40,240,360
I-919,40,240,280
I-920,60,260,300
I-921,20,260,240
I-922,60,260,240
I-923,20,240,280
I-924,20,260,360
I-925,20,240,280
I-926,60,280,280
I-927,60,280,280
I-928,20,280,420
I-929,20,280,300
I-930,50,260,360
I-931,60,260,240
I-932,50,260,360
I-933,40,280,300
I-934,40,280,300
I-935,40,240,420
I-936,20,240,280
I-937,40,240,240
I-938,50,240,240
I-939,50,260,280
I-940,40,260,360
I-941,20,240,240
I-942,20,240,420
I-943,50,260,240
I-944,20,280,240
I-945,50,280,300
I-946,60,280,200
I-947,60,260,200
I-948,50,240,280
I-949,20,260,200
I-950,50,260,200
I-951,20,240,200
I-952,50,280,300
I-953,20,240,240
I-954,50,280,420
I-955,20,280,280
I-956,60,240,420
I-957,40,280,420
I-958,60,240,360
I-959,40,260,240
I-960,20,280,240
I-961,20,280,360
I-962,60,280,240
I-963,20,280,280
I-964,60,240,300
I-965,40,240,200
I-966,20,280,300
I-967,40,260,300
I-968,50,280,420
I-969,20,280,360
I-970,40,240,280
I-971,50,280,420
I-972,20,260,360
I-973,50,280,360
I-974,40,240,300
I-975,60,260,360
I-976,20,240,420
I-977,50,260,200
I-978,40,280,360
I-979,40,260,360
I-980,50,260,240
I-981,60,280,360
I-982,50,280,240
I-983,20,240,200
I-984,40,260,360
I-985,50,260,300
I-986,50,280,280
I-987,20,280,300
I-988,60,260,280
I-989,50,280,200
I-990,40,260,240
I-991,20,280,280
I-992,40,260,280
I-993,50,280,200
I-994,20,280,420
I-995,50,240,420
I-996,60,280,360
I-997,60,280,280
I-998,40,280,280
I-999,40,280,200
I-1000,60,280,360
I-1001,40,240,300
I-1002,60,240,420
I-1003,50,260,300
I-1004,40,240,300
I-1005,20,260,420
I-1006,60,280,280
I-1007,40,240,420
I-1008,60,240,300
I-1009,50,260,240
I-1010,20,260,200
I-1011,50,280,360
I-1012,40,240,300
I-1013,60,260,300
I-1014,60,240,200
I-1015,50,260,360
I-1016,40,280,360
I-1017,50,280,420
I-1018,50,240,200
I-1019,40,240,200
I-1020,40,260,360
I-1021,20,280,280
I-1022,40,280,240
I-1023,60,260,360
I-1024,20,260,200
I-1025,20,280,280
I-1026,40,240,280
I-1027,20,260,360
I-1028,40,280,420
I-1029,20,240,280
I-1030,40,280,200
I-1031,50,260,420
I-1032,20,240,300
I-1033,20,240,280
I-1034,50,280,200
I-1035,60,240,240
I-1036,50,260,360
I-1037,20,240,360
I-1038,60,240,420
I-1039,50,260,280
I-1040,60,240,240
I-1041,40,260,420
I-1042,20,240,300
I-1043,60,240,200
I-1044,20,280,200
I-1045,60,260,240
I-1046,50,280,420
I-1047,20,240,200
I-1048,40,260,300
I-1049,40,240,200
I-1050,50,240,360
I-1051,50,280,300
I-1052,40,240,280
I-1053,40,280,200
I-1054,20,240,280
I-1055,50,280,240
I-1056,20,240,360
I-1057,50,260,200
I-1058,40,260,300
I-1059,20,280,200
I-1060,20,240,280
I-1061,50,280,280
I-1062,40,260,420
I-1063,50,240,280
I-1064,20,260,420
I-1065,50,280,420
I-1066,50,240,280
I-1067,50,280,420
I-1068,20,260,300
I-1069,60,240,240
I-1070,60,240,240
I-1071,60,280,420
I-1072,50,240,360
I-1073,20,240,420
I-1074,60,260,300
I-1075,40,260,240
I-1076,50,260,360
I-1077,60,260,240
I-1078,40,260,300
I-1079,40,260,280
I-1080,20,280,420
I-1081,50,280,280
I-1082,20,240,300
I-1083,50,280,360
I-1084,20,240,300
I-1085,40,280,360
I-1086,40,280,240
I-1087,40,240,360
I-1088,60,280,280
I-1089,20,260,420
I-1090,50,280,420
I-1091,20,240,420
I-1092,40,260,420
I-1093,50,240,300
I-1094,60,260,200
I-1095,40,260,240
I-1096,60,240,280
I-1097,50,260,280
I-1098,60,240,300
I-1099,20,280,360
I-1100,60,280,280
I-1101,40,260,420
I-1102,60,260,300
I-1103,20,260,200
I-1104,50,240,360
I-1105,40,260,420
I-1106,60,260,200
I-1107,40,240,240
I-1108,20,240,420
I-1109,40,240,360
I-1110,50,240,300
I-1111,40,280,420
I-1112,60,280,360
I-1113,40,240,200
I-1114,60,260,360
I-1115,60,240,300
I-1116,20,240,280
I-1117,60,260,420
I-1118,50,260,240
I-1119,40,260,200
I-1120,20,240,420
I-1121,40,240,420
I-1122,50,260,360
I-1123,20,260,200
I-1124,20,280,280
I-1125,20,280,200
I-1126,60,240,420
I-1127,60,240,240
I-1128,20,240,240
I-1129,50,280,280
I-1130,60,280,300
I-1131,40,260,360
I-1132,50,240,200
I-1133,60,280,200
I-1134,40,280,420
I-1135,60,280,360
I-1136,60,280,200
I-1137,60,240,420
I-1138,20,280,300
I-1139,50,280,300
I-1140,40,240,240
I-1141,50,280,280
I-1142,50,260,360
I-1143,40,280,200
I-1144,20,260,240
I-1145,20,240,420
I-1146,20,240,300
I-1147,50,280,300
I-1148,20,260,280
I-1149,20,240,200
I-1150,20,280,300
I-1151,50,280,200
I-1152,60,280,420
I-1153,50,260,300
I-1154,40,280,240
I-1155,60,240,240
I-1156,60,260,200
I-1157,20,280,200
I-1158,60,240,280
I-1159,20,260,420
I-1160,40,280,420
I-1161,50,240,300
I-1162,60,240,360
I-1163,60,260,360
I-1164,50,240,300
I-1165,50,260,240
I-1166,60,240,420
I-1167,50,280,300
I-1168,50,280,300
I-1169,20,240,300
I-1170,40,260,420
I-1171,40,280,420
I-1172,60,240,360
I-1173,40,280,420
I-1174,40,240,420
I-1175,40,280,240
I-1176,60,260,200
I-1177,50,240,280
I-1178,60,240,420
I-1179,50,280,280
I-1180,50,280,300
I-1181,60,280,200
I-1182,60,260,300
I-1183,50,280,300
I-1184,20,280,300
I-1185,60,280,300
I-1186,40,260,360
I-1187,20,240,280
I-1188,60,280,200
I-1189,20,240,420
I-1190,20,280,280
I-1191,60,260,420
I-1192,20,280,360
I-1193,20,280,420
I-1194,60,260,420
I-1195,20,280,300
I-1196,40,260,420
I-1197,50,260,300
I-1198,50,240,240
I-1199,60,240,200
I-1200,50,260,280
I-1201,50,240,280
I-1202,50,280,420
I-1203,60,280,300
I-1204,40,260,360
I-1205,20,240,300
I-1206,60,240,420
I-1207,60,260,200
I-1208,60,280,200
I-1209,20,280,200
I-1210,40,260,280
I-1211,50,260,200
I-1212,40,240,280
I-1213,60,260,280
I-1214,50,280,200
I-1215,60,260,280
I-1216,50,240,300
I-1217,40,260,300
I-1218,50,240,300
I-1219,50,280,300
I-1220,60,260,200
I-1221,20,240,420
I-1222,40,260,280
I-1223,20,260,280
I-1224,60,240,420
I-1225,20,280,200
I-1226,20,240,300
I-1227,40,260,420
I-1228,40,260,240
I-1229,20,240,360
I-1230,40,280,280
I-1231,20,280,240
I-1232,40,260,240
I-1233,40,260,240
I-1234,40,240,420
I-1235,20,260,200
I-1236,20,280,240
I-1237,60,240,200
I-1238,50,260,420
I-1239,40,240,200
I-1240,60,280,420
I-1241,50,260,240
I-1242,20,280,300
I-1243,50,280,240
I-1244,40,280,300
I-1245,20,260,420
I-1246,60,280,300
I-1247,60,280,300
I-1248,40,280,360
I-1249,50,260,240
I-1250,50,240,300
I-1251,60,260,280
I-1252,60,240,420
I-1253,40,240,280
I-1254,20,260,240
I-1255,40,260,280
I-1256,50,280,200
I-1257,20,240,200
I-1258,40,260,300
I-1259,40,260,300
I-1260,40,280,420
I-1261,60,240,420
I-1262,60,260,360
I-1263,50,240,360
I-1264,40,260,300
I-1265,50,240,280
I-1266,40,280,240
I-1267,60,260,300
I-1268,40,240,420
I-1269,60,260,280
I-1270,50,240,280
I-1271,40,280,200
I-1272,20,240,360
I-1273,60,240,420
I-1274,60,280,280
I-1275,20,260,300
I-1276,60,280,420
I-1277,40,240,300
I-1278,50,240,300
I-1279,60,260,200
I-1280,60,260,360
I-1281,60,260,200
I-1282,20,240,300
I-1283,40,260,240
I-1284,50,240,420
I-1285,50,240,240
I-1286,40,260,300
I-1287,40,260,200
I-1288,40,260,200
I-1289,20,240,300
I-1290,40,240,200
I-1291,60,240,360
I-1292,60,260,360
I-1293,40,260,360
I-1294,40,260,300
I-1295,20,240,240
I-1296,50,240,200
I-1297,50,240,280
I-1298,60,240,420
I-1299,20,240,420
I-1300,40,240,240
I-1301,20,240,200
I-1302,20,260,360
I-1303,60,260,200
I-1304,40,240,420
I-1305,40,240,360
I-1306,40,240,200
I-1307,40,240,200
I-1308,20,260,360
I-1309,50,240,240
I-1310,60,280,300
I-1311,50,240,300
I-1312,20,240,200
I-1313,20,240,300
I-1314,50,240,280
I-1315,60,240,420
I-1316,50,280,200
I-1317,20,240,280
I-1318,40,260,300
I-1319,60,260,420
I-1320,50,240,280
I-1321,60,280,360
I-1322,40,240,420
I-1323,50,260,280
I-1324,40,240,360
I-1325,20,260,300
I-1326,20,260,420
I-1327,40,260,300
I-1328,40,260,280
I-1329,40,240,280
I-1330,20,240,240
I-1331,20,260,300
I-1332,20,280,300
I-1333,20,280,300
I-1334,20,280,200
I-1335,20,260,300
I-1336,20,280,300
I-1337,20,260,300
I-1338,60,280,240
I-1339,60,280,300
I-1340,40,240,200
I-1341,50,280,360
I-1342,40,240,240
I-1343,60,240,300
I-1344,50,280,200
I-1345,40,260,420
I-1346,20,260,240
I-1347,40,280,300
I-1348,40,240,420
I-1349,50,280,240
I-1350,40,280,300
I-1351,40,280,300
I-1352,60,280,300
I-1353,20,260,200
I-1354,60,260,280
I-1355,20,260,300
I-1356,60,260,420
I-1357,60,280,200
I-1358,40,280,420
