Programme code,Study Year,Academic Year,Course,Course Type
10001,3.0,2023-2024,1022,elective
10011,1.0,2013-2014,1162,compulsory
10011,1.0,2013-2014,1240,compulsory-elective
10011,1.0,2013-2014,1101,compulsory-elective
10011,1.0,2013-2014,1093,compulsory-elective
10011,1.0,2013-2014,1262,elective
10011,1.0,2013-2014,1208,elective
10011,1.0,2013-2014,1199,elective
10011,1.0,2013-2014,1083,elective
10011,1.0,2014-2015,1121,compulsory
10011,1.0,2014-2015,1211,compulsory-elective
10011,1.0,2014-2015,1171,compulsory-elective
10011,1.0,2014-2015,1267,elective
10011,1.0,2014-2015,1263,elective
10011,1.0,2014-2015,1160,elective
10011,1.0,2014-2015,1108,elective
10011,1.0,2014-2015,1087,elective
10011,1.0,2014-2015,1083,elective
10011,1.0,2015-2016,1178,compulsory
10011,1.0,2015-2016,1218,compulsory-elective
10011,1.0,2015-2016,1200,compulsory-elective
10011,1.0,2015-2016,1107,compulsory-elective
10011,1.0,2015-2016,1047,compulsory-elective
10011,1.0,2015-2016,1293,compulsory-elective
10011,1.0,2015-2016,1263,compulsory-elective
10011,1.0,2015-2016,1262,compulsory-elective
10011,1.0,2015-2016,1106,compulsory-elective
10011,1.0,2016-2017,1291,compulsory
10011,1.0,2016-2017,1028,compulsory
10011,1.0,2016-2017,1265,compulsory-elective
10011,1.0,2016-2017,1224,compulsory-elective
10011,1.0,2016-2017,1209,compulsory-elective
10011,1.0,2016-2017,1059,compulsory-elective
10011,1.0,2016-2017,1283,compulsory-elective
10011,1.0,2016-2017,1258,compulsory-elective
10011,1.0,2016-2017,1115,compulsory-elective
10011,1.0,2016-2017,1031,compulsory-elective
10011,1.0,2017-2018,1295,compulsory
10011,1.0,2017-2018,1031,compulsory
10011,1.0,2017-2018,1297,compulsory-elective
10011,1.0,2017-2018,1271,compulsory-elective
10011,1.0,2017-2018,1084,compulsory-elective
10011,1.0,2017-2018,1253,elective
10011,1.0,2017-2018,1166,elective
10011,1.0,2017-2018,1155,elective
10011,1.0,2017-2018,1088,elective
10011,1.0,2017-2018,1077,elective
10011,1.0,2018-2019,1104,compulsory
10011,1.0,2018-2019,1040,compulsory
10011,1.0,2018-2019,1256,compulsory-elective
10011,1.0,2018-2019,1233,compulsory-elective
10011,1.0,2018-2019,1184,compulsory-elective
10011,1.0,2018-2019,1253,elective
10011,1.0,2018-2019,1189,elective
10011,1.0,2018-2019,1092,elective
10011,1.0,2018-2019,1015,elective
10011,1.0,2018-2019,1006,elective
10011,1.0,2019-2020,1224,compulsory
10011,1.0,2019-2020,1193,compulsory
10011,1.0,2019-2020,1142,compulsory
10011,1.0,2019-2020,1022,compulsory
10011,1.0,2019-2020,1289,elective
10011,1.0,2019-2020,1274,elective
10011,1.0,2019-2020,1152,elective
10011,1.0,2019-2020,1145,elective
10011,1.0,2019-2020,1136,elective
10011,1.0,2019-2020,1127,elective
10011,1.0,2020-2021,1218,compulsory
10011,1.0,2020-2021,1186,compulsory
10011,1.0,2020-2021,1228,compulsory-elective
10011,1.0,2020-2021,1151,compulsory-elective
10011,1.0,2020-2021,1109,compulsory-elective
10011,1.0,2020-2021,1094,compulsory-elective
10011,1.0,2020-2021,1264,elective
10011,1.0,2020-2021,1137,elective
10011,1.0,2020-2021,1105,elective
10011,1.0,2020-2021,1063,elective
10011,1.0,2020-2021,1047,elective
10011,1.0,2020-2021,1045,elective
10011,1.0,2021-2022,1224,compulsory
10011,1.0,2021-2022,1055,compulsory
10011,1.0,2021-2022,1236,compulsory-elective
10011,1.0,2021-2022,1166,compulsory-elective
10011,1.0,2021-2022,1047,compulsory-elective
10011,1.0,2021-2022,1249,elective
10011,1.0,2021-2022,1149,elective
10011,1.0,2021-2022,1073,elective
10011,1.0,2021-2022,1045,elective
10011,1.0,2022-2023,1110,compulsory
10011,1.0,2022-2023,1251,compulsory-elective
10011,1.0,2022-2023,1234,compulsory-elective
10011,1.0,2022-2023,1102,compulsory-elective
10011,1.0,2022-2023,1049,compulsory-elective
10011,1.0,2022-2023,1242,elective
10011,1.0,2022-2023,1116,elective
10011,1.0,2022-2023,1087,elective
10011,1.0,2022-2023,1070,elective
10011,1.0,2022-2023,1069,elective
10011,1.0,2023-2024,1257,compulsory
10011,1.0,2023-2024,1232,compulsory
10011,1.0,2023-2024,1114,compulsory
10011,1.0,2023-2024,1076,compulsory
10011,1.0,2023-2024,1278,elective
10011,1.0,2023-2024,1261,elective
10011,1.0,2023-2024,1127,elective
10011,1.0,2023-2024,1126,elective
10011,1.0,2023-2024,1099,elective
10011,2.0,2013-2014,1236,compulsory
10011,2.0,2013-2014,1233,compulsory-elective
10011,2.0,2013-2014,1183,compulsory-elective
10011,2.0,2013-2014,1112,compulsory-elective
10011,2.0,2013-2014,1083,compulsory-elective
10011,2.0,2013-2014,1296,elective
10011,2.0,2013-2014,1248,elective
10011,2.0,2013-2014,1149,elective
10011,2.0,2013-2014,1066,elective
10011,2.0,2013-2014,1035,elective
10011,2.0,2014-2015,1155,compulsory
10011,2.0,2014-2015,1100,compulsory
10011,2.0,2014-2015,1050,compulsory
10011,2.0,2014-2015,1044,compulsory
10011,2.0,2014-2015,1288,elective
10011,2.0,2014-2015,1257,elective
10011,2.0,2014-2015,1113,elective
10011,2.0,2014-2015,1009,elective
10011,2.0,2015-2016,1269,compulsory
10011,2.0,2015-2016,1138,compulsory
10011,2.0,2015-2016,1251,compulsory
10011,2.0,2015-2016,1242,compulsory
10011,2.0,2015-2016,1293,elective
10011,2.0,2015-2016,1248,elective
10011,2.0,2015-2016,1198,elective
10011,2.0,2015-2016,1170,elective
10011,2.0,2015-2016,1143,elective
10011,2.0,2015-2016,1121,elective
10011,2.0,2016-2017,1131,compulsory
10011,2.0,2016-2017,1294,compulsory-elective
10011,2.0,2016-2017,1218,compulsory-elective
10011,2.0,2016-2017,1138,compulsory-elective
10011,2.0,2016-2017,1080,compulsory-elective
10011,2.0,2016-2017,1281,compulsory-elective
10011,2.0,2016-2017,1247,compulsory-elective
10011,2.0,2016-2017,1146,compulsory-elective
10011,2.0,2016-2017,1119,compulsory-elective
10011,2.0,2017-2018,1240,compulsory
10011,2.0,2017-2018,1192,compulsory
10011,2.0,2017-2018,1252,compulsory-elective
10011,2.0,2017-2018,1230,compulsory-elective
10011,2.0,2017-2018,1221,compulsory-elective
10011,2.0,2017-2018,1010,compulsory-elective
10011,2.0,2017-2018,1284,elective
10011,2.0,2017-2018,1203,elective
10011,2.0,2017-2018,1170,elective
10011,2.0,2017-2018,1145,elective
10011,2.0,2017-2018,1131,elective
10011,2.0,2017-2018,1046,elective
10011,2.0,2018-2019,1185,compulsory
10011,2.0,2018-2019,1090,compulsory-elective
10011,2.0,2018-2019,1082,compulsory-elective
10011,2.0,2018-2019,1290,elective
10011,2.0,2018-2019,1291,elective
10011,2.0,2018-2019,1267,elective
10011,2.0,2018-2019,1182,elective
10011,2.0,2018-2019,1044,elective
10011,2.0,2018-2019,1030,elective
10011,2.0,2019-2020,1236,compulsory
10011,2.0,2019-2020,1062,compulsory
10011,2.0,2019-2020,1260,compulsory-elective
10011,2.0,2019-2020,1168,compulsory-elective
10011,2.0,2019-2020,1089,compulsory-elective
10011,2.0,2019-2020,1080,compulsory-elective
10011,2.0,2019-2020,1299,elective
10011,2.0,2019-2020,1291,elective
10011,2.0,2019-2020,1286,elective
10011,2.0,2019-2020,1156,elective
10011,2.0,2019-2020,1144,elective
10011,2.0,2019-2020,1015,elective
10011,2.0,2020-2021,1218,compulsory
10011,2.0,2020-2021,1135,compulsory
10011,2.0,2020-2021,1240,compulsory
10011,2.0,2020-2021,1089,compulsory
10011,2.0,2020-2021,1285,elective
10011,2.0,2020-2021,1264,elective
10011,2.0,2020-2021,1217,elective
10011,2.0,2020-2021,1199,elective
10011,2.0,2020-2021,1167,elective
10011,2.0,2020-2021,1057,elective
10011,2.0,2021-2022,1210,compulsory
10011,2.0,2021-2022,1296,compulsory-elective
10011,2.0,2021-2022,1282,compulsory-elective
10011,2.0,2021-2022,1175,compulsory-elective
10011,2.0,2021-2022,1118,compulsory-elective
10011,2.0,2021-2022,1278,elective
10011,2.0,2021-2022,1133,elective
10011,2.0,2021-2022,1098,elective
10011,2.0,2021-2022,1081,elective
10011,2.0,2021-2022,1057,elective
10011,2.0,2022-2023,1242,compulsory
10011,2.0,2022-2023,1167,compulsory
10011,2.0,2022-2023,1202,compulsory
10011,2.0,2022-2023,1148,compulsory
10011,2.0,2022-2023,1239,elective
10011,2.0,2022-2023,1122,elective
10011,2.0,2022-2023,1060,elective
10011,2.0,2022-2023,1022,elective
10011,2.0,2022-2023,1020,elective
10011,2.0,2023-2024,1222,compulsory
10011,2.0,2023-2024,1251,compulsory-elective
10011,2.0,2023-2024,1191,compulsory-elective
10011,2.0,2023-2024,1022,compulsory-elective
10011,2.0,2023-2024,1188,elective
10011,2.0,2023-2024,1155,elective
10011,2.0,2023-2024,1048,elective
10011,2.0,2023-2024,1004,elective
10011,3.0,2013-2014,1203,compulsory
10011,3.0,2013-2014,1174,compulsory
10011,3.0,2013-2014,1268,compulsory-elective
10011,3.0,2013-2014,1176,compulsory-elective
10011,3.0,2013-2014,1046,compulsory-elective
10011,3.0,2013-2014,1291,elective
10011,3.0,2013-2014,1081,elective
10011,3.0,2013-2014,1060,elective
10011,3.0,2013-2014,1042,elective
10011,3.0,2014-2015,1164,compulsory
10011,3.0,2014-2015,1234,compulsory-elective
10011,3.0,2014-2015,1112,compulsory-elective
10011,3.0,2014-2015,1045,compulsory-elective
10011,3.0,2014-2015,1272,elective
10011,3.0,2014-2015,1206,elective
10011,3.0,2014-2015,1152,elective
10011,3.0,2014-2015,1090,elective
10011,3.0,2014-2015,1014,elective
10011,3.0,2015-2016,1263,compulsory
10011,3.0,2015-2016,1037,compulsory
10011,3.0,2015-2016,1081,compulsory-elective
10011,3.0,2015-2016,1080,compulsory-elective
10011,3.0,2015-2016,1067,compulsory-elective
10011,3.0,2015-2016,1012,compulsory-elective
10011,3.0,2015-2016,1191,elective
10011,3.0,2015-2016,1103,elective
10011,3.0,2015-2016,1055,elective
10011,3.0,2015-2016,1051,elective
10011,3.0,2015-2016,1044,elective
10011,3.0,2016-2017,1243,compulsory
10011,3.0,2016-2017,1273,compulsory-elective
10011,3.0,2016-2017,1211,compulsory-elective
10011,3.0,2016-2017,1172,compulsory-elective
10011,3.0,2016-2017,1134,compulsory-elective
10011,3.0,2016-2017,1281,elective
10011,3.0,2016-2017,1269,elective
10011,3.0,2016-2017,1173,elective
10011,3.0,2016-2017,1168,elective
10011,3.0,2016-2017,1152,elective
10011,3.0,2016-2017,1078,elective
10011,3.0,2017-2018,1239,compulsory
10011,3.0,2017-2018,1228,compulsory
10011,3.0,2017-2018,1184,compulsory-elective
10011,3.0,2017-2018,1130,compulsory-elective
10011,3.0,2017-2018,1112,compulsory-elective
10011,3.0,2017-2018,1028,compulsory-elective
10011,3.0,2017-2018,1280,elective
10011,3.0,2017-2018,1260,elective
10011,3.0,2017-2018,1234,elective
10011,3.0,2017-2018,1172,elective
10011,3.0,2017-2018,1024,elective
10011,3.0,2018-2019,1136,compulsory
10011,3.0,2018-2019,1127,compulsory
10011,3.0,2018-2019,1230,compulsory-elective
10011,3.0,2018-2019,1112,compulsory-elective
10011,3.0,2018-2019,1034,compulsory-elective
10011,3.0,2018-2019,1271,elective
10011,3.0,2018-2019,1195,elective
10011,3.0,2018-2019,1179,elective
10011,3.0,2018-2019,1174,elective
10011,3.0,2018-2019,1092,elective
10011,3.0,2019-2020,1264,compulsory
10011,3.0,2019-2020,1229,compulsory
10011,3.0,2019-2020,1261,compulsory-elective
10011,3.0,2019-2020,1233,compulsory-elective
10011,3.0,2019-2020,1225,compulsory-elective
10011,3.0,2019-2020,1033,compulsory-elective
10011,3.0,2019-2020,1223,elective
10011,3.0,2019-2020,1078,elective
10011,3.0,2019-2020,1050,elective
10011,3.0,2019-2020,1036,elective
10011,3.0,2019-2020,1014,elective
10011,3.0,2020-2021,1275,compulsory
10011,3.0,2020-2021,1178,compulsory-elective
10011,3.0,2020-2021,1083,compulsory-elective
10011,3.0,2020-2021,1014,compulsory-elective
10011,3.0,2020-2021,1256,elective
10011,3.0,2020-2021,1242,elective
10011,3.0,2020-2021,1213,elective
10011,3.0,2020-2021,1165,elective
10011,3.0,2020-2021,1085,elective
10011,3.0,2020-2021,1062,elective
10011,3.0,2021-2022,1095,compulsory
10011,3.0,2021-2022,1168,compulsory-elective
10011,3.0,2021-2022,1025,compulsory-elective
10011,3.0,2021-2022,1274,elective
10011,3.0,2021-2022,1267,elective
10011,3.0,2021-2022,1172,elective
10011,3.0,2021-2022,1021,elective
10011,3.0,2021-2022,1018,elective
10011,3.0,2022-2023,1085,compulsory
10011,3.0,2022-2023,1254,compulsory-elective
10011,3.0,2022-2023,1230,compulsory-elective
10011,3.0,2022-2023,1174,compulsory-elective
10011,3.0,2022-2023,1261,elective
10011,3.0,2022-2023,1235,elective
10011,3.0,2022-2023,1197,elective
10011,3.0,2022-2023,1187,elective
10011,3.0,2022-2023,1024,elective
10011,3.0,2022-2023,1016,elective
10011,3.0,2023-2024,1138,compulsory
10011,3.0,2023-2024,1115,compulsory
10011,3.0,2023-2024,1242,compulsory-elective
10011,3.0,2023-2024,1081,compulsory-elective
10011,3.0,2023-2024,1043,compulsory-elective
10011,3.0,2023-2024,1298,elective
10011,3.0,2023-2024,1278,elective
10011,3.0,2023-2024,1263,elective
10011,3.0,2023-2024,1141,elective
10011,3.0,2023-2024,1118,elective
10012,1.0,2013-2014,1149,compulsory
10012,1.0,2013-2014,1147,compulsory
10012,1.0,2013-2014,1187,compulsory-elective
10012,1.0,2013-2014,1179,compulsory-elective
10012,1.0,2013-2014,1173,compulsory-elective
10012,1.0,2013-2014,1100,compulsory-elective
10012,1.0,2013-2014,1253,elective
10012,1.0,2013-2014,1231,elective
10012,1.0,2013-2014,1202,elective
10012,1.0,2013-2014,1200,elective
10012,1.0,2013-2014,1181,elective
10012,1.0,2013-2014,1091,elective
10012,1.0,2014-2015,1158,compulsory
10012,1.0,2014-2015,1037,compulsory
10012,1.0,2014-2015,1162,compulsory-elective
10012,1.0,2014-2015,1081,compulsory-elective
10012,1.0,2014-2015,1075,compulsory-elective
10012,1.0,2014-2015,1049,compulsory-elective
10012,1.0,2014-2015,1263,elective
10012,1.0,2014-2015,1207,elective
10012,1.0,2014-2015,1108,elective
10012,1.0,2014-2015,1080,elective
10012,1.0,2014-2015,1054,elective
10012,1.0,2014-2015,1051,elective
10012,1.0,2015-2016,1146,compulsory
10012,1.0,2015-2016,1246,compulsory-elective
10012,1.0,2015-2016,1098,compulsory-elective
